fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 201138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	165	TRUE	804409	0.0812555803354201	0.868138233709894	3465	723	8682	25920000	47
20220930 201200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	804409	0.288720363323675	0.301950626821071	2388	623	10741	24840000	48
20220930 201215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	804409	0.194790927063883	0.653611132793315	5349	187	7575	25410000	49
20220930 201231	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	804409	0.259180739331334	0.981262744669616	3972	304	9443	25200000	50
20220930 201515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	304	TRUE	804409	0.0134617175266659	0.865148815126717	1027	621	7645	26470000	51
20220930 201845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	804409	0.018692179539024	0.43887779240197	2247	801	10271	26740000	52
20221001 031948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	750	TRUE	804409	0.0119142494092204	0.571192798227328	2856	786	10061	26440000	53
20221001 032218	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	188	TRUE	804409	0.0201340732615867	0.447466847803828	887	963	9356	27050000	54
20221001 032758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	315	TRUE	804409	0.0226121331064197	0.444312312220025	231	1020	8491	26940000	55
20221001 032941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	181	TRUE	804409	0.0253526678233644	0.44798139255516	2002	806	9165	26870000	56
20221001 033429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	325	TRUE	804409	0.011229941536476	0.446894542629679	791	952	8798	26970000	57
20221001 033648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	804409	0.0460917320342046	0.552726304450433	1756	645	9612	26620000	58
20221001 090304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	804409	0.0612384413011186	0.620138157135074	4047	757	9074	26100000	59
20221001 091510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	450	TRUE	804409	0.00578004555385211	0.445307488403842	926	964	9460	26920000	60
20221001 092504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	562	TRUE	804409	0.00980941977941553	0.552658930143362	1465	281	8844	26720000	61
20221001 093313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	834	TRUE	804409	0.0162131688515712	0.550271941248292	6954	329	10187	26110000	62
20221001 093915	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	512	TRUE	804409	0.0191128592011017	0.447565458151614	6649	1021	9178	26370000	63
20221001 193345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	804409	0.0490990301458382	0.446830354464846	901	538	9266	27150000	64
20221001 193432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	114	TRUE	804409	0.0595507033598933	0.451409783622785	2394	414	9044	26560000	65
